Alert ID,Ticker,Name,Description,Time,Webhook status
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.3240757365,""sl"":1.32904772,""rr"":""2.74:1""}}",2026-03-19T07:16:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":211.5675272224,""sl"":212.194983,""rr"":""1.96:1""}}",2026-03-19T06:20:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.7610511461,""sl"":159.431409,""rr"":""1.07:1""}}",2026-03-19T05:16:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":159.4062631154,""sl"":159.872713,""rr"":""1.92:1""}}",2026-03-19T04:36:02Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":211.8961709975,""sl"":212.464252,""rr"":""1.68:1""}}",2026-03-19T03:50:10Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.5444897832,""sl"":211.786002,""rr"":""2.58:1""}}",2026-03-19T03:00:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.1471601989,""sl"":1.14394491,""rr"":""1.81:1""}}",2026-03-18T23:20:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":159.6260704887,""sl"":160.006847,""rr"":""1.38:1""}}",2026-03-18T23:11:02Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":160.3206971543,""sl"":159.517323,""rr"":""4.03:1""}}",2026-03-18T22:46:01Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.317060536,""sl"":1.32814682,""rr"":""7.36:1""}}",2026-03-18T22:41:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.139565561,""sl"":1.14819705,""rr"":""6.52:1""}}",2026-03-18T22:40:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.149821046,""sl"":1.1536525,""rr"":""2.32:1""}}",2026-03-18T19:00:00Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":1.1541339638,""sl"":1.14911973,""rr"":""3.36:1""}}",2026-03-18T18:15:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":159.5440258269,""sl"":159.237603,""rr"":""0.92:1""}}",2026-03-18T17:21:01Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":159.2990951838,""sl"":159.675516,""rr"":""1.36:1""}}",2026-03-18T17:06:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.7152505078,""sl"":212.125662,""rr"":""1.78:1""}}",2026-03-18T16:50:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":212.1311375,""sl"":212.786574,""rr"":""2.08:1""}}",2026-03-18T16:05:01Z,Webhook delivery failed — 404 Not Found
4241953027,"TICKMILL:EURUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""EURUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.1463254935,""sl"":1.15390275,""rr"":""5.57:1""}}",2026-03-18T15:05:00Z,Webhook delivery failed — 404 Not Found
4242008720,"ICMARKETS:USDJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""USDJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":160.1283312775,""sl"":159.28056,""rr"":""4.32:1""}}",2026-03-18T15:01:01Z,Webhook delivery failed — 404 Not Found
4242001278,"ICMARKETS:GBPUSD, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPUSD"",""action"":""SELL"",""risk"":1.0,""meta"":{""tp"":1.32691759,""sl"":1.33495362,""rr"":""5.03:1""}}",2026-03-18T15:01:00Z,Webhook delivery failed — 404 Not Found
4242010891,"OANDA:GBPJPY, 5m",{{message}},"{""indicator_id"":""ABC_Pattern_v2"",""strategy_id"":""abc_geometric"",""symbol"":""GBPJPY"",""action"":""BUY"",""risk"":1.0,""meta"":{""tp"":212.7606713437,""sl"":212.008779,""rr"":""2.54:1""}}",2026-03-18T13:50:00Z,Webhook delivery failed — 404 Not Found
